arm	seg	side	turn_id	addr	date	tier	reason	rank	in_deg	out_deg	seated	type	title
C	E60	old	13145	S15069/T1489	2026-08-24	2	declares-index	42	1	2	0	review,ops,implement	Milestone-split accepted the hard way: two of three declared properties were unpinned until strengthened
C	E60	old	12475	S15069/T1051	2026-08-20	2	declares-index	43	1	2	0	design	User ruled set-valued fields (type, tags) support only write mode, never edit
C	E60	old	12436	S15069/T1024	2026-08-19	2	declares-index	44	1	2	0	research,discuss	The deviation accounting: example rulings crossed the T944 compact before the spec was written from summary
C	E60	old	12429	S15069/T1017	2026-08-19	2	declares-index	45	1	2	0	design,delegate,ops	Settlement thresholds move to config with reject-over-range, and the ticket went to a worker
C	E60	old	12396	S15069/T990	2026-08-19	2	declares-index	46	1	2	0	fix,design,correction	One hook slot cannot hold two growing blocks; the rubric gets its own (6d106fb)
C	E60	old	9291	S15069/T137	2026-07-29	2	declares-index	47	1	2	0	ops	Released 0.8.3 (orphan-skip fix); turn 9260 clear blocked on write authorization
C	E60	old	8281	S15069/T61	2026-07-21	2	declares-index	48	1	2	0	ops	Rule-ledger feature staged-committed and released as 0.7.0
C	E60	old	8241	S15069/T34	2026-07-20	2	declares-index	49	1	2	0	design	Refined ticket boundary: move experience-doc retirement from 09 to 08
C	E60	old	8239	S15069/T32	2026-07-20	2	declares-index	50	1	2	0	correction,fix	GPT review demotes spec to draft; fixes epoch bug, closes 6 protocols
C	E60	old	13468	S15069/T1685	2026-08-26	2	declares-index	51	1	1	0	ops	0.20.0 releases the lane model v12 batch across the seven version sites
C	E60	old	12274	S15069/T913	2026-08-18	2	declares-index	52	0	5	0	design	design+ownership: settlement writes session title/content, membership correction bounded
C	E60	old	12670	S21460/T111	2026-08-21	2	declares-index	53	0	4	0	design	Simplified to eight words and two layers: grounds absorbs encodes
C	E60	old	12421	S15069/T1010	2026-08-19	2	declares-index	54	0	4	0	measure,ops,correction	Settlement's era floor is the recorded 2026-08-11 cutoff, and the backfill trial committed first try
C	E60	old	9214	S15069/T126	2026-07-28	2	declares-index	55	0	4	0	design,ops	Released 0.8.2: insight-material pipeline shipped all-at-once (A-D)
C	E60	old	8451	S15069/T79	2026-07-22	2	declares-index	56	0	4	0	design,ops	Split rev3 spec into 7 dependency-ordered implementation tickets
C	E60	old	11014	S15069/T465	2026-08-10	2	declares-index	57	0	3	0	ops	Released 0.9.5: 裁决25 + Codex fix pack + shift detector live
C	E60	old	10122	S15069/T200	2026-08-04	2	declares-index	58	0	3	0	fix,ops	session-project-drift fixed, committed, released as 0.8.5
C	E60	old	8426	S15069/T71	2026-07-22	2	declares-index	59	0	3	0	research,correction	Baseline mismatch traced to session-shape and sampling scope
C	E60	old	8222	S15069/T23	2026-07-20	2	declares-index	60	0	3	0	implement	Merged turn-detail.sh into mnemo-replay skill, updated docs and release guard
C	E60	old	12563	S15069/T1131	2026-08-20	2	declares-index	61	0	2	0	design	User ordered a full-batch peer review once every ticket lands
C	E60	old	12276	S15069/T915	2026-08-18	2	declares-index	62	0	2	0	measure,correction	measure+rewind-marking: the five anomalies are rewound branches recall never marks
C	E60	old	12267	S15069/T906	2026-08-18	2	declares-index	63	0	2	0	design	design+settlement: ticket 13 withdrawn, settlement touches no segment fields at all
C	E60	old	12262	S15069/T901	2026-08-18	2	declares-index	64	0	2	0	design	design+segment-fields: the Working State bullet rule stays in the spec, not duplicated into the ticket
C	E60	old	11136	S15069/T484	2026-08-11	2	declares-index	65	0	2	0	ops	Released 0.9.6 (1889be9), pushed to origin/main
C	E60	old	10875	S15069/T453	2026-08-09	2	declares-index	66	0	2	0	review	Broad note-debt audit: 3 suspected defects all ruled non-issues
C	E60	old	8207	S15069/T14	2026-07-20	2	declares-index	67	0	2	0	research	Confirmed hook injection feasible: closes design's last open question
C	E60	old	8190	S15069/T7	2026-07-20	2	declares-index	68	0	2	0	research	Clarified EdgeBench is a measurement harness, not a self-evolution mechanism
C	E60	old	12474	S15069/T1050	2026-08-20	3	type-decision	69	7	0	0	design	User ruled the write gate turns to Edit-tool semantics and write modes collapse to write plus edit
C	E60	old	12261	S15069/T900	2026-08-18	3	type-decision	70	7	0	0	design,ops	design+ownership: the three ownership rulings merge into one spec with range membership
C	E60	old	12618	S15069/T1166	2026-08-21	3	type-decision	71	6	2	0	design,correction	User corrected the grammar to final form: same-phase trio, cross-phase word set by the source row
C	E60	old	12679	S15069/T1202	2026-08-21	3	type-decision	72	6	1	0	design,ops	Final rulings landed: mechanical rename with settlement cleanup, collects membership hard-checked
C	E60	old	12477	S15069/T1053	2026-08-20	3	type-decision	73	5	4	0	design,ops	Spec written for the write-mode Edit-semantics batch, carrying three decisions the rulings did not cover
C	E60	old	11085	S15069/T471	2026-08-10	3	type-decision	74	5	2	0	design,fix	裁決26 landed (221c9a7); split ticket 09 into 3 sequential rollback-safe tickets
C	E60	old	11001	S15069/T460	2026-08-10	3	type-decision	75	5	1	0	design,implement	裁决25 landed (2aed364): current-turn addressing, reminders retired
C	E60	old	13515	S15069/T1723	2026-08-26	3	type-decision	76	4	2	0	ops,design	Both specs cut into 18 dependency-ordered tickets
C	E60	old	13035	S15069/T1440	2026-08-23	3	type-decision	77	4	1	0	design,delegate,ops	Simulation retired by ruling: an Opus agent rewrites T1-100 through the real tools
C	E60	old	12651	S21460/T95	2026-08-21	3	type-decision	78	4	1	0	measure,design	Workflow must emerge from turn edges alone, and today's graph yields one 81-node blob instead
C	E60	old	12633	S15069/T1180	2026-08-21	3	type-decision	79	4	1	0	design,implement,delegate	Both rulings landed in spec and draft rev 2; self-reference ticket 05 cut and dispatched
C	E60	old	12540	S15069/T1113	2026-08-20	3	type-decision	80	4	1	0	design	User re-armed settlement: 50-turn windows, peer-grade authority plus commit, one shared hindsight rubric
C	E60	old	12536	S15069/T1109	2026-08-20	3	type-decision	81	4	1	0	design,measure	User decoupled content citations from edges and opened multi-relation pairs; convergence measured at three true points
C	E60	old	12476	S15069/T1052	2026-08-20	3	type-decision	82	4	1	0	design,research	User ruled the write gate keeps its read-grant table: edit self-proves, write still consults it
C	E60	old	12394	S15069/T989	2026-08-19	3	type-decision	83	4	1	0	review,measure,design	A mutation finally survived: the batch grant path had no snapshot guard
C	E60	old	12375	S15069/T978	2026-08-19	3	type-decision	84	4	1	0	design	Cadence unifies, creation principles enter the rubric, and the roster moves onto the unified renderer
C	E60	old	12273	S15069/T912	2026-08-18	3	type-decision	85	4	1	0	design	design+session-fields: settlement checks four fields, session content is writerless
C	E60	old	9200	S15069/T118	2026-07-28	3	type-decision	86	4	1	0	design	Locked insight-pipeline design: expanded insight scope + propose_rule 2-turn hard gate
C	E60	old	12874	S15069/T1360	2026-08-23	3	type-decision	87	3	2	0	design,ops	Lane definition v2 ruled with uniform exclusion, and the election spec published
C	E60	old	12532	S15069/T1106	2026-08-20	3	type-decision	88	3	2	0	review,ops,correction	Peer delivered the rebuild — 35 edges, 21 workflows — with every rejection a budget-drift artifact, none legality
C	E60	old	12879	S15069/T1364	2026-08-23	3	type-decision	89	3	1	0	design,implement	Console v2: vertical row-per-turn layout with the lane strip split open/closed
C	E60	old	12747	S15069/T1255	2026-08-22	3	type-decision	90	3	1	0	discuss,correction	Peer discussion located the real defect: four jobs filed under three stances
C	E60	old	12720	S15069/T1236	2026-08-21	3	type-decision	91	3	1	0	design,ops	User ruled the canonical spec route and the graph node set; invariants entered the spec
C	E60	old	12688	S15069/T1209	2026-08-21	3	type-decision	92	3	1	0	design,review,ops,delegate	Grounds retightened to cross-phase only by ruling; tickets 04 and 05 verified and landed
C	E60	old	12647	S15069/T1191	2026-08-21	3	type-decision	93	3	1	0	design,ops,delegate	User triaged the peer review: infrastructure now, scoring later; cross-segment warning adopted
C	E60	old	12623	S15069/T1171	2026-08-21	3	type-decision	94	3	1	0	design	User closed the grilling: encodes credits its targets as curation, workflow defined by example
C	E60	old	12616	S15069/T1164	2026-08-21	3	type-decision	95	3	1	0	design,discuss	User ruled the within-phase trio: stance pair scores and forks, depends-on crosses workflows
C	E60	old	12562	S15069/T1130	2026-08-20	3	type-decision	96	3	1	0	design	User approved the rubric's retraction line: removal and re-judgment are both judgment acts
C	E60	old	12545	S15069/T1118	2026-08-20	3	type-decision	97	3	1	0	design,correction	User struck the dual-timing task framing from the shared rubric — noise to the main agent, settlement's own prompt carries it
C	E60	old	12543	S15069/T1116	2026-08-20	3	type-decision	98	3	1	0	design	User collapsed the rubric to four sections: type and tags are field specs, membership and creation one segment section
C	E60	old	12498	S15069/T1073	2026-08-20	3	type-decision	99	3	1	0	design,measure	User re-split the note fields: title is the index, content carries every useful decision
C	E60	old	12492	S15069/T1067	2026-08-20	3	type-decision	100	3	1	0	design,research	User re-pinned the timeline row form: time, type, title, one renderer, no content field
C	E60	old	12306	S15069/T935	2026-08-18	3	type-decision	101	3	1	0	design	grounded-on entered the table and the three prompt layers got their concrete drafts
C	E60	old	12280	S15069/T919	2026-08-18	3	type-decision	102	3	1	0	design	design+recall-view: one tool two shapes ruled, session title shows once
C	E60	old	12271	S15069/T910	2026-08-18	3	type-decision	103	3	1	0	design	design+session-fields: session shrinks to title+content, segments take the task face
C	E60	old	8220	S15069/T21	2026-07-20	3	type-decision	104	3	1	0	design	Locked rules-table schema + static dispatcher, solving hit-tracking for free
C	E60	old	13141	S15069/T1487	2026-08-24	3	type-decision	105	3	0	0	review,design,ops,delegate	Render-fidelity accepted with its floor follow-through; ticket 03 amended and dispatched; user orders the milestone-injection split mid-turn
C	E60	old	10314	S15069/T318	2026-08-05	3	type-decision	106	3	0	0	design	Locked direction: kill persistent subagent, stateless grading calls
C	E60	old	8436	S15069/T74	2026-07-22	3	type-decision	107	3	0	0	design	Locked subtask-granularity clause, closing the task-centric rubric semantics
C	E60	old	13514	S15069/T1722	2026-08-26	3	type-decision	108	2	2	0	correction,design	Both specs revised against their peer rounds and committed
C	E60	old	13180	S15069/T1505	2026-08-24	3	type-decision	109	2	2	0	design,ops	User rules the grant wipe moves to compact — which also closes the reverse soundness hole
C	E60	old	12872	S15069/T1358	2026-08-23	3	type-decision	110	2	2	0	design,discuss	Valid-lane intent clarified into three states; single-node lanes questioned; tier-demotion floated for negative in-edges
C	E60	old	12804	S15069/T1304	2026-08-22	3	type-decision	111	2	2	0	design,implement	User unified the model with one interpretation principle and overturned three of my recommendations; rev 6 written
C	E60	old	12668	S21460/T109	2026-08-21	3	type-decision	112	2	2	0	design,correction	Layer and phase are two axes, and encodes was defined on the wrong one
C	E60	old	12667	S21460/T108	2026-08-21	3	type-decision	113	2	2	0	discuss,correction	collects must be same-flow, and the same-flow constraint has two distinct sources
C	E60	old	12664	S21460/T106	2026-08-21	3	type-decision	114	2	2	0	measure,design	Implementing a flow proves it settled, which turns encodes into a checkable invariant
C	E60	old	12663	S21460/T105	2026-08-21	3	type-decision	115	2	2	0	design,correction	collects is the same-phase terminator in both layers; encodes is the cross-flow aggregator
C	E60	old	12662	S21460/T104	2026-08-21	3	type-decision	116	2	2	0	measure,correction	Settlement nodes and ticket slices: the symmetric two-level shape is already in the data
C	E60	old	12660	S21460/T102	2026-08-21	3	type-decision	117	2	2	0	measure,correction	The delivery layer has no partition of its own — it inherits, and batches are fans
C	E60	old	12652	S21460/T96	2026-08-21	3	type-decision	118	2	2	0	measure,correction	encodes is a directed attachment, not an undirected merge, and override must be flow-free
C	E60	old	12480	S15069/T1055	2026-08-20	3	type-decision	119	2	2	0	research,correction	Every peer finding held at source, and my edit-skips-the-grant rule was a misreading of the ruling
C	E60	old	12336	S15069/T959	2026-08-19	3	type-decision	120	2	2	0	design,implement	The read-write-contract spec is published from the converged grill rulings
C	E60	old	10408	S15069/T327	2026-08-06	3	type-decision	121	2	2	0	design	Landed: main-agent inline summary + batch subagent grading/tagging
C	E60	old	9997	S15069/T147	2026-08-03	3	type-decision	122	2	2	0	measure,correction,design	Disproved mechanical G3 floor; validated gate-not-floor at 12% + mandatory pull-in rule
C	E60	old	9213	S15069/T125	2026-07-28	3	type-decision	123	2	2	0	review,correction	All 4 insight-pipeline tickets complete, full suite green, uncommitted
C	E60	old	9209	S15069/T122	2026-07-28	3	type-decision	124	2	2	0	design,ops,delegate	Published 4 tickets, dispatched ticket 01 to codex, chose serial execution
C	E60	old	9206	S15069/T120	2026-07-28	3	type-decision	125	2	2	0	design,ops	Closed 3 external-review gaps in insight-pipeline spec, kept ready-for-agent
C	E60	old	9201	S15069/T119	2026-07-28	3	type-decision	126	2	2	0	design,ops	Wrote ready-for-agent spec for insight-material pipeline (A/B/C/D scope)
C	E60	old	8450	S15069/T78	2026-07-22	3	type-decision	127	2	2	0	design	Closed 2nd GPT review round: spec rev3, bridge-G4, arc citation protocol locked
C	E60	old	8225	S15069/T25	2026-07-20	3	type-decision	128	2	2	0	design	Added PostToolUse dispatcher, converged v1 scope with tombstone red line
C	E60	old	13406	S15069/T1631	2026-08-25	3	type-decision	129	2	1	0	design,ops	Cutting v12 into 13 tickets: subtractions first, then expand-contract
C	E60	old	13377	S15069/T1615	2026-08-25	3	type-decision	130	2	1	0	design,ops	Polished the v12 draft and sent the whole model to the peer
C	E60	old	13262	S15069/T1549	2026-08-24	3	type-decision	131	2	1	0	research,measure,design	The field study answers the phase question: keep same-phase edges, fix the four real breaks in the type guidance
C	E60	old	13255	S15069/T1542	2026-08-24	3	type-decision	132	2	1	0	design,ops	Rev 2 cut into nine slices for approval before publishing
C	E60	old	13253	S15069/T1541	2026-08-24	3	type-decision	133	2	1	0	design	Rev 2 closes the peer's ten findings on three rulings: merge, both-declared, and a richer lane header
C	E60	old	13243	S15069/T1537	2026-08-24	3	type-decision	134	2	1	0	design,measure	Tagless membership ruled illegal, and the lane chain walks by usefulness rather than length
C	E60	old	13236	S15069/T1530	2026-08-24	3	type-decision	135	2	1	0	design	Lane identity collapses to a single tag under a segment, declared through remember
C	E60	old	13229	S15069/T1524	2026-08-24	3	type-decision	136	2	1	0	design	User rules lane identity into a declared registry, and the console into segment-ordinal addressing
C	E60	old	13193	S15069/T1511	2026-08-24	3	type-decision	137	2	1	0	design,ops	Peer passes e81aca6 with one soundness P1; the fix escalates to a writer context epoch
C	E60	old	13101	S15069/T1462	2026-08-23	3	type-decision	138	2	1	0	review,correction,ops	My malformed mutation stalls a sibling for sixteen minutes; tm-02 and the rubric land once the tree heals
C	E60	old	13084	S15069/T1458	2026-08-23	3	type-decision	139	2	1	0	design,delegate,ops	Execution opens: six tickets published, two Opus workers dispatched, territory sequencing set
C	E60	old	13062	S15069/T1448	2026-08-23	3	type-decision	140	2	1	0	design,ops	Rulings land: relations field plus ↳ words approved and ticketed; DAG view assessed with two shape corrections
C	E60	old	13002	S15069/T1429	2026-08-23	3	type-decision	141	2	1	0	design,ops	Write-gate hardening cut as one ticket: prose fields last plus a rejection that names the glue and the loop
C	E60	old	12990	S15069/T1426	2026-08-23	3	type-decision	142	2	1	0	research,correction,ops	The glue failure is a self-reinforcing context loop, not sporadic noise — owed notes repaired cross-session
C	E60	old	12956	S15069/T1415	2026-08-23	3	type-decision	143	2	1	0	design,ops	Tag-mandate rulings land: superset branches, five error classes, commit as the legality gate — spec published
C	E60	old	12901	S15069/T1378	2026-08-23	3	type-decision	144	2	1	0	design,ops	User sequenced the queue: cut console tickets after election 03 lands; E60 working state brought current
C	E60	old	12893	S15069/T1375	2026-08-23	3	type-decision	145	2	1	0	design,implement	User unified focus into the lane multi-select alone; node clicks become chip presses
C	E60	old	12887	S15069/T1372	2026-08-23	3	type-decision	146	2	1	0	design,ops	Memory-console live-wiring spec published on the worker HTTP seam
C	E60	old	12885	S15069/T1370	2026-08-23	3	type-decision	147	2	1	0	design,implement	User revised the scheme: color everywhere by default, gray reserved for focus, focus widened to the lane component
C	E60	old	12883	S15069/T1368	2026-08-23	3	type-decision	148	2	1	0	design,implement	Edge encoding ruled: dashes carry the phase axis, and the law keeps the two axes from colliding
C	E60	old	12811	S15069/T1310	2026-08-22	3	type-decision	149	2	1	0	design	User cut the checker to four reports over a turn range or named lanes
C	E60	old	12786	S15069/T1290	2026-08-22	3	type-decision	150	2	1	0	design,delegate	User widened indexes beyond lanes, split minimality by phase axis, and sent rev 3 to peer
C	E60	old	12756	S15069/T1262	2026-08-22	3	type-decision	151	2	1	0	design,measure	User sharpened the aggregation trigger to flow convergence and asked what the other two flows are
C	E60	old	12728	S15069/T1241	2026-08-21	3	type-decision	152	2	1	0	design,ops	Navigation-plus-review ruled; all eight peer findings folded into the spec
C	E60	old	12695	S15069/T1215	2026-08-21	3	type-decision	153	2	1	0	design,correction,implement	User ruled the verdict pair strictly cross-phase; the vocabulary reaches scope purity
C	E60	old	12683	S15069/T1204	2026-08-21	3	type-decision	154	2	1	0	design	Ruled: a release does not collect in v1 — curation splits between release and settlements
C	E60	old	12640	S15069/T1185	2026-08-21	3	type-decision	155	2	1	0	review,implement,correction	Peer round three ruled fix-then-splice; rev 6 restores the artifact gate and repairs five drifts
C	E60	old	12637	S15069/T1183	2026-08-21	3	type-decision	156	2	1	0	design,implement	User ruled the rubric goes English, concise and pragmatic; §Relations translated as rev 4
C	E60	old	12612	S15069/T1161	2026-08-21	3	type-decision	157	2	1	0	design,ops,delegate	Receipt-trim ruled and dispatched; the seven relations explained from the live graph
C	E60	old	12606	S15069/T1156	2026-08-21	3	type-decision	158	2	1	0	ops,design	One repair ticket cut for the render boilerplate, with the stale-title finding corrected en route
C	E60	old	12550	S15069/T1121	2026-08-20	3	type-decision	159	2	1	0	review,correction	Peer review round one: three must-fixes all real — additive phase, deletion-test multi-relations, first-release root
C	E60	old	12546	S15069/T1119	2026-08-20	3	type-decision	160	2	1	0	design	The v5 skeleton shown: five deltas over v4, everything else carried verbatim
C	E60	old	12542	S15069/T1115	2026-08-20	3	type-decision	161	2	1	0	design,discuss	Policy merges into the shared rubric; relations are a graph, membership is a partition — never conflated
C	E60	old	12526	S15069/T1101	2026-08-20	3	type-decision	162	2	1	0	design,delegate	User ordered a live edge rebuild of T900–T1000: unbroken workflow chains plus expressiveness and election analyses
C	E60	old	12516	S15069/T1091	2026-08-20	3	type-decision	163	2	1	0	design,measure	User's vision for milestones is coverage, not ranking: 100 rows should leave no unknown unknowns
C	E60	old	12500	S15069/T1075	2026-08-20	3	type-decision	164	2	1	0	design	User ruled the over-budget reminder fires every call, and field definitions go in beside the segment fields
C	E60	old	12499	S15069/T1074	2026-08-20	3	type-decision	165	2	1	0	design	Budget rejection retires for a warning; the two-homes request collides with an earlier single-home ruling
C	E60	old	12448	S15069/T1032	2026-08-19	3	type-decision	166	2	1	0	design,discuss	Page-opening rows carry the full prefix, and the G column went to the user unexplained
C	E60	old	12427	S15069/T1015	2026-08-19	3	type-decision	167	2	1	0	design,implement,ops	User ruled manual-only settlement control: /settle self-dispatches and allow_pre_era crosses the floor
C	E60	old	12376	S15069/T979	2026-08-19	3	type-decision	168	2	1	0	design,delegate	Topic judged a mechanism-level synonym split; tickets 13 and 14 published
C	E60	old	12370	S15069/T973	2026-08-19	3	type-decision	169	2	1	0	design,implement	Truncate retires per ruling; two follow-up tickets published and one dispatched
C	E60	old	12335	S15069/T958	2026-08-19	3	type-decision	170	2	1	0	design,correction	Pagination, not truncation: turn size is the only knife on field visibility
C	E60	old	12331	S15069/T954	2026-08-19	3	type-decision	171	2	1	0	design	Round two closes the gate design; three write-gate terms enter the glossary
C	E60	old	12311	S15069/T938	2026-08-18	3	type-decision	172	2	1	0	review,design	peer discussion split into seven adoptions and two pushbacks, one factual
C	E60	old	12308	S15069/T937	2026-08-18	3	type-decision	173	2	1	0	design	every vocabulary word got a one-line definition and the three layers went to the peer
C	E60	old	12298	S15069/T927	2026-08-18	3	type-decision	174	2	1	0	design	design+type-vocabulary: codify withdrawn, ops is a gloss problem not a word problem
C	E60	old	12297	S15069/T926	2026-08-18	3	type-decision	175	2	1	0	design	design+spec-review: six rulings applied, legacy exits milestones, ops word pending
C	E60	old	12282	S15069/T921	2026-08-18	3	type-decision	176	2	1	0	design	design+view-spec: round one closes, ranking goes empirical, ordinal T pinned
C	E60	old	11000	S15069/T459	2026-08-10	3	type-decision	177	2	1	0	correction,research	Corrected: CJK violations were deploy-lag, not ongoing; found chain-shift mechanism
C	E60	old	10860	S15069/T438	2026-08-09	3	type-decision	178	2	1	0	design	Triaged Codex NOT-READY verdict on ticket 11: reject P1, fix P2×3
C	E60	old	10855	S15069/T433	2026-08-09	3	type-decision	179	2	1	0	design	裁决24: skip notes when turn has no info or context is lost
C	E60	old	10854	S15069/T432	2026-08-09	3	type-decision	180	2	1	0	design	Locked adjudications 22/23; ticket 11 opened for cache-safe reminders
C	E60	old	10316	S15069/T320	2026-08-05	3	type-decision	181	2	1	0	design	Decomposed grading into fact-writing plus fully derived ordering
C	E60	old	10042	S15069/T167	2026-08-03	3	type-decision	182	2	1	0	design,ops	Wrote spec Rev 3, closing second review's 15 findings
C	E60	old	10039	S15069/T165	2026-08-03	3	type-decision	183	2	1	0	design,ops	Wrote spec Rev 2, closing all 5 blockers, restored ready-for-agent
C	E60	old	10025	S15069/T160	2026-08-03	3	type-decision	184	2	1	0	design,ops	Wrote ready-for-agent arc-spine-redesign spec plus project-drift ticket
C	E60	old	9984	S15069/T142	2026-08-03	3	type-decision	185	2	1	0	discuss,correction	Clarified milestone redesign is still discussion; surfaced 3 pending sub-decisions
C	E60	old	8445	S15069/T77	2026-07-22	3	type-decision	186	2	1	0	design,correction	Simplified rubric: dropped 2nd-level subtask, used turn-density anchors; spec rev2 ready
C	E60	old	8420	S15069/T69	2026-07-22	3	type-decision	187	2	1	0	measure,correction	Hundred-turn audit rejects systemic score-drift conclusion
