arm	seg	side	turn_id	addr	tier	reason	rank
D	E60	recent	13698	S15069/T1878	3	indexed-by-elected	19
D	E60	recent	13697	S15069/T1877	3	indexed-by-elected	20
D	E60	recent	13680	S15069/T1862	3	indexed-by-elected	21
D	E60	recent	13679	S15069/T1861	3	indexed-by-elected	22
D	E60	recent	13678	S15069/T1860	3	indexed-by-elected	23
D	E60	recent	13673	S15069/T1855	3	indexed-by-elected	24
D	E60	recent	13672	S15069/T1854	3	indexed-by-elected	25
D	E60	recent	13671	S15069/T1853	3	indexed-by-elected	26
D	E60	recent	13657	S15069/T1839	3	indexed-by-elected	27
D	E60	recent	13575	S15069/T1774	3	indexed-by-elected	28
D	E60	recent	13696	S15069/T1876	3	indexed-by-elected	29
D	E60	recent	13658	S15069/T1840	3	indexed-by-elected	30
D	E60	recent	13649	S15069/T1831	3	indexed-by-elected	31
D	E70	old	10621	S15440/T532	2	declares-index	1
D	E70	old	10527	S15440/T496	2	declares-index	2
D	E70	old	10108	S15440/T395	2	declares-index	3
D	E70	old	11064	S15440/T696	2	declares-index	4
D	E70	old	9452	S15440/T219	2	declares-index	5
D	E70	old	9059	S15440/T61	2	declares-index	6
D	E70	old	10964	S15440/T669	2	declares-index	7
D	E70	old	10633	S15440/T542	2	declares-index	8
D	E70	old	10072	S15440/T377	2	declares-index	9
D	E70	old	9614	S15440/T284	2	declares-index	10
D	E70	old	10713	S15440/T595	2	declares-index	11
D	E70	old	9111	S15440/T70	2	declares-index	12
D	E70	old	9915	S15440/T315	2	declares-index	13
D	E70	old	9388	S15440/T177	2	declares-index	14
D	E70	old	11018	S15440/T677	2	declares-index	15
D	E70	old	9696	S15440/T307	2	declares-index	16
D	E70	old	10699	S15440/T586	2	declares-index	17
D	E70	old	10714	S15440/T596	2	declares-index	18
D	E70	old	9029	S15440/T55	2	declares-index	19
D	E70	old	9444	S15440/T215	2	declares-index	20
D	E70	old	9959	S15440/T342	2	declares-index	21
D	E70	old	9555	S15440/T263	2	declares-index	22
D	E70	old	9460	S15440/T225	2	declares-index	23
D	E70	old	9210	S15440/T121	2	declares-index	24
D	E70	old	11110	S15440/T719	2	declares-index	25
D	E70	old	9947	S15440/T332	2	declares-index	26
D	E70	old	9485	S15440/T231	2	declares-index	27
D	E70	old	9677	S15440/T298	2	declares-index	28
D	E70	old	9588	S15440/T276	2	declares-index	29
D	E70	old	9523	S15440/T242	2	declares-index	30
D	E70	old	11212	S15440/T743	2	declares-index	31
D	E70	old	10441	S15440/T454	2	declares-index	32
D	E70	old	10022	S15440/T355	2	declares-index	33
D	E70	old	10657	S15440/T565	2	declares-index	34
D	E70	old	11107	S15440/T718	2	declares-index	35
D	E70	old	9575	S15440/T271	2	declares-index	36
D	E70	old	11127	S15440/T725	2	declares-index	37
D	E70	old	10540	S15440/T501	2	declares-index	38
D	E70	recent	11696	S15440/T1022	2	declares-index	1
D	E70	recent	11577	S15440/T971	2	declares-index	2
D	E70	recent	11327	S15440/T805	2	declares-index	3
D	E70	recent	11543	S15440/T951	3	indexed-by-elected	4
D	E70	recent	11306	S15440/T792	3	indexed-by-elected	5
D	E70	recent	11304	S15440/T790	3	indexed-by-elected	6
D	E70	recent	11548	S15440/T954	3	indexed-by-elected	7
D	E70	recent	11691	S15440/T1021	3	indexed-by-elected	8
D	E70	recent	11674	S15440/T1014	3	indexed-by-elected	9
D	E70	recent	11559	S15440/T959	3	indexed-by-elected	10
D	E70	recent	11547	S15440/T953	3	indexed-by-elected	11
D	E70	recent	11325	S15440/T804	3	indexed-by-elected	12
D	E70	recent	11299	S15440/T786	3	indexed-by-elected	13
D	E70	recent	11314	S15440/T798	3	indexed-by-elected	14
D	E70	recent	11663	S15440/T1005	3	indexed-by-elected	15
D	E70	recent	11649	S15440/T999	3	indexed-by-elected	16
D	E70	recent	11670	S15440/T1011	3	indexed-by-elected	17
D	E70	recent	11573	S15440/T967	3	indexed-by-elected	18
D	E70	recent	11526	S15440/T937	4	corrector	19
D	E70	recent	11570	S15440/T965	4	corrector	20
D	E70	recent	11534	S15440/T943	4	corrector	21
D	E70	recent	11368	S15440/T825	4	corrector	22
D	E70	recent	11375	S15440/T830	4	corrector	23
D	E70	recent	11361	S15440/T821	4	corrector	24
D	E70	recent	11538	S15440/T947	4	corrector	25
D	E70	recent	11302	S15440/T789	4	corrector	26
D	E70	recent	11650	S15440/T1000	4	corrector	27
D	E70	recent	11520	S15440/T932	4	corrector	28
D	E70	recent	11404	S15440/T846	4	corrector	29
D	E70	recent	11471	S15440/T898	4	corrector	30
D	E70	recent	11592	S15440/T979	4	corrector	31
D	E70	recent	11566	S15440/T963	4	corrector	32
D	E70	recent	11356	S15440/T818	4	corrector	33
D	E70	recent	11672	S15440/T1013	4	corrector	34
D	E70	recent	11588	S15440/T976	4	corrector	35
D	E70	recent	11373	S15440/T829	4	corrector	36
D	E70	recent	11380	S15440/T831	5	other	37
D	E70	recent	11473	S15440/T899	5	other	38
D	E70	recent	11312	S15440/T796	5	other	39
