seg	side	turn_id	addr	date	elected	tier	reason	rank	in_pos	out_all	type	tags	title_len	content_len	insight_len	has_insight	declares_index	unsettled_index	extends_depth	title	in_override	out_override	in_narrows	out_narrows	in_extends	out_extends	in_indexes	out_indexes	in_consume	out_consume	in_grounds	out_grounds	in_verifies	out_verifies	stratum	label	label_reason
E60	old	12411	S15069/T1000	2026-08-19	0	3	indexed-by-elected	177	1	1	review,measure	read-write-contract,review,claude-mnemo	75	892	0	0	0	0	0	Round-two findings verified: the fixed class recurred inside its own ticket	0	0	0	0	0	0	1	0	0	1	0	0	0	0	rejected-timematched	USEFUL	同类缺陷在本票内复发
E60	old	12376	S15069/T979	2026-08-19	0	3	indexed-by-elected	129	2	1	design,delegate	workflow,rubric,roster,tickets,observation-pipeline,claude-mnemo	73	892	0	0	0	0	2	Topic judged a mechanism-level synonym split; tickets 13 and 14 published	0	0	0	0	1	1	1	0	0	0	0	0	0	0	rejected-timematched	USEFUL	判定 topic 为机制级同义分裂
E60	old	10811	S15069/T413	2026-08-09	0	5	other	947	0	1	measure,research	settlement-replay,ticket-09-cutover,claude-mnemo,extraction-architecture	91	1210	178	1	0	0	0	First offline settlement replay validates segmentation; found cursor-init gap for ticket 09	0	0	0	0	0	0	0	0	0	0	0	0	0	1	rejected-timematched	USEFUL	首次离线回放验证分段
E60	old	13105	S15069/T1464	2026-08-23	0	3	indexed-by-elected	105	2	1	review,fix,ops	claude-mnemo,tag-mandate,note-settlement,lane-checker	95	851	0	0	0	0	23	tm-05 accepted with the one-hop closure ruling, and the E1/E3 loader blindness repaired by hand	0	0	0	0	1	1	1	0	0	0	0	0	0	0	rejected-timematched	USEFUL	一跳闭包裁定与装载盲点修补
E60	old	12537	S15069/T1110	2026-08-20	0	5	other	889	0	1	review,ops	claude-mnemo,write-gate,citation-edges	108	659	0	0	0	0	0	Ticket 08 closed the write-mode batch at ten of ten; the checked-in bundle now trails source by four commits	0	0	0	0	0	0	0	0	0	1	0	0	0	0	rejected-timematched	USEFUL	票 08 收口与发布次序建议
E60	recent	13681	S15069/T1863	2026-08-27	0	3	indexed-by-elected	34	1	1	fix,design	claude-mnemo,memory-console	116	513	0	0	0	0	4	User reports multi-type nodes show no selection marker; ring becomes its own element and the prose legend is removed	0	0	0	0	0	1	1	0	0	0	0	0	0	0	rejected-timematched	USEFUL	选中环修复与图例删除
E60	recent	13712	S15069/T1892	2026-08-27	0	5	other	71	1	1	review	claude-mnemo,system-writeup	69	635	0	0	0	0	10	Review of 语义记忆: three implementation mismatches and two one-line gaps	0	0	0	0	1	1	0	0	0	0	0	0	0	0	rejected-timematched	USEFUL	文档与实现三处不符
E60	recent	13716	S15069/T1896	2026-08-27	0	5	other	144	0	1	measure,research	claude-mnemo,system-writeup	122	603	0	0	0	0	10	Compiled documentation ammunition: four categories of measured facts for the memory-system draft, tagged by target section	0	0	0	0	0	1	0	0	0	0	0	0	0	0	rejected-timematched	NO	事实清单，可重新查询重建
E60	recent	13670	S15069/T1852	2026-08-27	0	5	other	56	2	1	fix,correction,research	claude-mnemo,transcript-backfill	83	759	172	1	0	0	8	The stitch edge lands as verifies after the full text reverses my narrows diagnosis	0	0	0	0	1	1	0	0	0	0	1	0	0	0	rejected-timematched	USEFUL	截断读会反转结论的教训
E60	old	9290	S15069/T136	2026-07-29	0	3	indexed-by-elected	139	2	1	review,fix	dream-agent,claude-mnemo	81	728	151	1	0	0	2	Verified orphan-skip fix, restored regression codex had dropped, full suite green	0	0	0	0	1	1	1	0	0	0	0	0	0	0	high-indegree-rejected	USEFUL	核验子代理实现并补回回归
E60	old	8420	S15069/T69	2026-07-22	0	5	other	404	2	1	measure,correction	milestone-scoring,audit,correction,rolled-back,extraction-architecture,claude-mnemo	58	325	136	1	0	0	1	Hundred-turn audit rejects systemic score-drift conclusion	1	0	0	1	1	0	1	0	0	0	0	0	0	0	high-indegree-rejected	USEFUL	百轮审计推翻评分漂移结论
E60	old	12398	S15069/T992	2026-08-19	0	3	indexed-by-elected	98	2	2	review,delegate	segment,read-write-contract,observation-pipeline,claude-mnemo	76	924	0	0	0	0	0	Topic retirement verified on a production rehearsal and committed as 4ca8806	0	0	0	0	0	0	1	0	1	1	0	1	0	0	high-indegree-rejected	USEFUL	生产演练验证退役迁移
E60	old	10671	S15069/T334	2026-08-08	0	5	other	420	2	0	design	extraction-architecture,rolled-back,claude-mnemo	71	1878	177	1	0	0	1	Locked remember() schema: 10/50/40-token fields, insight admission test	2	0	0	0	1	0	0	0	1	0	0	0	0	0	high-indegree-rejected	MUST	锁定 remember 字段预算与准入
E60	old	10042	S15069/T167	2026-08-03	0	3	indexed-by-elected	136	2	1	design,ops	milestone-rendering,milestone-design,claude-mnemo	53	1447	0	0	0	0	4	Wrote spec Rev 3, closing second review's 15 findings	0	0	0	0	1	1	1	0	0	0	0	0	0	0	high-indegree-rejected	MUST	规格 Rev 3 收口十五处发现
E60	old	8224	S15069/T24	2026-07-20	0	3	indexed-by-elected	147	2	1	design	self-evolution,rule-ledger,claude-mnemo	71	606	0	0	0	0	4	Detailed rules/rule_events schema: tombstones and append-only event log	0	0	0	0	1	1	1	0	0	0	0	0	0	0	high-indegree-rejected	MUST	规则表与事件表定版含墓碑
E60	old	12550	S15069/T1121	2026-08-20	0	3	indexed-by-elected	119	2	1	review,correction	claude-mnemo,citation-edges,extraction-architecture	116	665	0	0	0	0	4	Peer review round one: three must-fixes all real — additive phase, deletion-test multi-relations, first-release root	0	0	0	0	1	1	1	0	0	0	0	0	0	0	high-indegree-rejected	MUST	逐边删除测试取代伪二分法
E60	old	11173	S15069/T518	2026-08-11	0	5	other	1422	0	0		note-budget,claude-mnemo	72	398	0	0	0	0	0	review+release-hygiene: user asks what landed, exposing a bundled commit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	low-degree-decisive-looking	USEFUL	混提交与汇报夸大的教训
E60	old	11817	S15069/T684	2026-08-15	0	5	other	1313	0	0		observation-pipeline,claude-mnemo	74	1084	0	0	0	0	0	design+edge-migration: the carve-out names its loss instead of dressing it	0	0	0	0	0	0	0	0	0	0	0	0	0	0	low-degree-decisive-looking	USEFUL	迁移中引用关系无声丢失
E60	old	12820	S15069/T1319	2026-08-22	0	5	other	865	0	1	design,ops	claude-mnemo,segment-fields,membership,tickets	75	547	0	0	0	0	1	User ruled segment tags out of lane identity; ticket 07 cut and docs synced	0	0	0	0	0	1	0	0	0	0	0	0	0	0	low-degree-decisive-looking	MUST	用户裁定段标签不进泳道身份
E60	old	11714	S15069/T623	2026-08-14	0	5	other	931	0	1		observation-pipeline,claude-mnemo	70	1066	0	0	0	0	0	fix+settlement-fence: a re-read protects a merged value, not a verdict	0	0	0	0	0	0	0	0	0	1	0	0	0	0	low-degree-decisive-looking	USEFUL	围栏只护合并值不护判断
E60	old	11794	S15069/T674	2026-08-15	0	4	corrector	246	0	1		observation-pipeline,claude-mnemo	78	996	0	0	0	0	0	fix+citation-edges: provenance cannot attribute the 324, timestamps nearly can	0	1	0	0	0	0	0	0	0	0	0	0	0	0	low-degree-decisive-looking	USEFUL	归属列不可判，时间戳近似可判
E60	old	12469	S15069/T1045	2026-08-19	0	5	other	901	0	1	design,ops	claude-mnemo,search-shape,view-spec	91	516	0	0	0	0	0	Match-conditional prompt display ruled in, and the project filter member ruled out for good	0	0	0	0	0	0	0	0	0	0	0	1	0	0	low-degree-decisive-looking	USEFUL	命中即显提示词，项目过滤永久否决
E60	old	12655	S15069/T1195	2026-08-21	0	4	corrector	230	0	2	design,ops	claude-mnemo,relation-vocabulary,semantic-container	95	718	0	0	0	0	2	User closed the last open question: segments are the container, the graph carves their interior	0	1	0	0	0	1	0	0	0	0	0	0	0	0	low-degree-decisive-looking	MUST	用户裁定段是容器、图刻内部
E70	old	10072	S15440/T377	2026-08-03	1	2	declares-index	17	1	8	review,fix	action-as-cosplay,rp-harness	80	1002	0	0	1	0	3	Codex review returned No-go (7C/10M); revised ROLLOUT_SPEC to v1.1, resolved all	0	0	1	1	0	2	0	4	0	0	0	1	0	0	elected	USEFUL	评审 No-go 后规格升 v1.1
E70	old	11110	S15440/T719	2026-08-10	1	2	declares-index	21	1	5	measure	action-as-cosplay,rp-harness	74	559	0	0	1	0	2	Batch3 (M14-M19) smoke closes 6/6; confirms M17 needs pole-sharpening pass	0	0	0	1	1	0	0	4	0	0	0	0	0	0	elected	USEFUL	冒烟全过并定 M17 待锐化
E70	old	10540	S15440/T501	2026-08-07	1	2	declares-index	38	0	5	measure	action-as-cosplay,behavior-axes	36	676	0	0	1	0	0	v5.1验证：3/4目标格命中，残余~3%同源于名场面引力已到提示词边际	0	0	0	0	0	0	0	4	0	0	0	0	0	1	elected	USEFUL	结论：提示词侧已到边际
E70	recent	11674	S15440/T1014	2026-08-14	1	3	indexed-by-elected	10	2	1	correction,research	action-as-cosplay,behavior-axes	64	617	0	0	0	0	0	canonical probe = registry edit + cards_v75 --axes --with-source	0	1	0	0	0	0	1	0	0	0	0	0	1	0	elected	USEFUL	定下正典探针路径
E70	recent	11649	S15440/T999	2026-08-14	1	3	indexed-by-elected	12	2	1	design,correction	action-as-cosplay,behavior-axes	63	575	0	0	0	0	6	伪装 re-anchored to image-gap, 迎合 dissolved — v7 lands at 12 axes	0	0	0	0	1	1	1	0	0	0	0	0	0	0	elected	MUST	用户裁定 v7 十二轴、迎合消解
E70	recent	11306	S15440/T792	2026-08-12	1	3	indexed-by-elected	5	4	1	measure	action-as-cosplay,rp-harness	76	709	242	1	0	0	2	measure+M13V2-pole: split confirmed both ends, luna phantom settlement found	0	0	1	0	0	1	1	0	0	0	1	0	1	0	elected	USEFUL	引擎伪造账本第四次复现
E70	recent	11526	S15440/T937	2026-08-13	1	4	corrector	20	3	1	implement	action-as-cosplay,rp-harness	46	671	99	1	0	0	0	serve tool retired — delivery rides base verbs	0	1	1	0	0	0	0	0	0	0	0	0	2	0	elected	MUST	撤 serve，交付统一走基础动词
E70	recent	11538	S15440/T947	2026-08-13	1	4	corrector	21	2	1	research,correction	action-as-cosplay,rp-harness	71	638	250	1	0	0	2	verdict came from engine impersonation; unified view interfaces drafted	0	1	0	0	1	0	0	0	0	0	1	0	0	0	elected	USEFUL	推翻 NPC 误判，实为引擎冒名
E70	recent	11672	S15440/T1013	2026-08-14	1	4	corrector	34	0	1	correction,implement	action-as-cosplay,behavior-axes	72	531	0	0	0	0	0	probe rebuilt in axis1_daring_v2 family form, hand-rolled runner deleted	1	1	0	0	0	0	0	0	0	0	0	0	0	0	elected	NO	下一轮即被推翻的中间做法
E70	recent	11380	S15440/T831	2026-08-12	1	5	other	37	6	1	review,implement	action-as-cosplay,character-cards	72	812	0	0	0	0	1	review+v75-delivery: v9 prose needed zero forced edits, projection wired	0	0	1	0	1	0	0	0	3	0	0	0	1	1	elected	USEFUL	v75 交付核验与缓存命中
E70	recent	11473	S15440/T899	2026-08-13	1	5	other	38	5	1	design,delegate	action-as-cosplay,rp-harness	63	942	0	0	0	0	6	Four rulings landed final node grammar; tree migration launched	0	0	1	0	2	1	0	0	0	0	0	0	2	0	elected	MUST	四条裁定定版节点语法
E70	recent	11384	S15440/T833	2026-08-12	1	5	other	39	3	1	measure	action-as-cosplay,character-cards	62	305	0	0	0	0	1	measure+card-extraction: per-card token cost of v75 extraction	0	0	0	0	1	0	0	0	2	1	0	0	0	0	elected	USEFUL	单卡成本，批次报价依据
E70	old	11212	S15440/T743	2026-08-11	1	2	declares-index	31	1	2	ops	action-as-cosplay,rp-harness	85	961	0	0	1	0	2	ops+cleanup, doc-mirror sync, and commit e6cd364: workspace layers all landed on main	0	0	0	0	1	0	0	2	0	0	0	0	0	0	elected	NO	清理与提交播报
E70	old	10621	S15440/T532	2026-08-07	1	2	declares-index	1	6	7	measure,design	action-as-cosplay,rp-harness	41	1445	0	0	1	0	1	六局验收收官：P02/P03强分离确认，P01弱分离靠时序/质感，观测通道规则定案	0	0	1	0	1	0	1	6	2	0	0	0	1	1	elected	MUST	六局验收收官并定版观测通道规则
E70	old	10071	S15440/T376	2026-08-03	0	3	indexed-by-elected	117	2	1	design	action-as-cosplay,rp-harness	78	550	0	0	0	0	3	Confirmed reachability is universal code-side physics, not scene-written rules	1	0	0	0	1	1	1	0	0	0	0	0	0	0	rejected-timematched	USEFUL	可达性属代码层物理
E70	old	11116	S15440/T721	2026-08-10	0	3	indexed-by-elected	47	4	1	ops	action-as-cosplay,rp-harness	76	486	0	0	0	0	2	Dispatched full opposite-pole verification run (11 scenes) to test axis pull	0	0	0	0	1	1	1	0	0	0	2	0	0	0	rejected-timematched	NO	派发验证批次的播报
E70	old	10538	S15440/T500	2026-08-07	0	3	indexed-by-elected	61	3	1	correction,implement	action-as-cosplay,behavior-axes	32	580	0	0	0	0	0	Landed v5.1: 直言轴收窄到互动表达；守序改按日常基线	0	0	0	1	0	0	1	0	1	0	0	0	1	0	rejected-timematched	MUST	用户裁定日常基线与单事件不定级
E70	recent	11677	S15440/T1015	2026-08-14	0	5	other	92	1	1	measure	action-as-cosplay,behavior-axes	58	537	0	0	0	0	2	canonical reprojection verdict — rotation is a strict gain	0	0	0	0	1	0	0	0	0	0	0	0	0	1	rejected-timematched	USEFUL	轴旋转为纯收益的复核结论
E70	recent	11642	S15440/T996	2026-08-14	0	5	other	97	1	1	design	action-as-cosplay,behavior-axes	47	688	0	0	0	0	6	v7 round 2 — 完美/功利/敏感 tables adopted with trims	0	0	0	0	1	1	0	0	0	0	0	0	0	0	rejected-timematched	USEFUL	三条轴表采纳与裁剪
E70	recent	11305	S15440/T791	2026-08-12	0	5	other	193	0	1	ops	action-as-cosplay,rp-harness	61	303	213	1	0	0	0	ops+run-launch: 若麦 episode launched after cwd-residue failure	0	0	0	0	0	0	0	0	0	1	0	0	0	0	rejected-timematched	NO	例行重启，cwd 操作失误
E70	recent	11524	S15440/T935	2026-08-13	0	5	other	175	0	1	fix,correction	action-as-cosplay,rp-harness,invalidated:notify-pending:interrupt	56	634	0	0	0	0	0	serve deadlock — dropped 端送 clause, engine invented grab	1	0	0	1	0	0	0	0	0	0	0	0	0	0	rejected-timematched	USEFUL	serve 死锁根因，次轮被取代
E70	recent	11536	S15440/T945	2026-08-13	0	5	other	173	0	1	measure	action-as-cosplay,rp-harness	67	520	266	1	0	0	0	strict carry semantics validated live; verdict tier anomaly flagged	1	0	0	0	0	0	0	0	0	0	0	0	0	1	rejected-timematched	USEFUL	验证通过并标记评级异常
E70	recent	11671	S15440/T1012	2026-08-14	0	5	other	199	0	0	correction,measure	action-as-cosplay,behavior-axes	65	602	0	0	0	0	0	cache passthrough vindicated — my null-read misjudgment corrected	0	0	0	0	0	0	0	0	0	0	0	0	0	0	rejected-timematched	USEFUL	纠正代理不透传缓存的误判
E70	recent	11383	S15440/T832	2026-08-12	0	5	other	142	1	1	measure	action-as-cosplay,character-cards	63	411	0	0	0	0	1	measure+card-size: full card ~12k tokens, projection only 0.65k	0	0	0	0	1	0	0	0	0	1	0	0	0	0	rejected-timematched	USEFUL	卡片成本测量，回答成本疑虑
E70	recent	11475	S15440/T900	2026-08-13	0	5	other	59	2	1	design	action-as-cosplay,rp-harness	65	952	0	0	0	0	0	Visibility redesigned — sealed boundary replaces per-item viewers	0	0	1	1	0	0	0	0	0	0	0	0	1	0	rejected-timematched	MUST	可见性改为封闭边界，废逐项 viewers
E70	recent	11388	S15440/T835	2026-08-12	0	5	other	159	0	2	measure	action-as-cosplay,character-cards	74	655	392	1	0	0	0	measure+terra-v75: systematic under-extraction, sol confirmed as extractor	0	0	0	0	0	0	0	0	0	1	0	0	0	1	rejected-timematched	MUST	定下 sol 为提取默认模型
E70	recent	11635	S15440/T995	2026-08-14	0	5	other	44	2	1	design,delegate	action-as-cosplay,behavior-axes,rp-harness	66	696	0	0	0	0	6	three new axes assessed; termination knife launched on user ruling	0	0	0	0	1	0	0	0	0	0	1	1	0	0	high-indegree-rejected	USEFUL	三轴评估与终止裁定
E70	old	9459	S15440/T224	2026-07-30	0	3	indexed-by-elected	154	2	1	review,research	action-as-cosplay,behavior-axes,character-cards	91	855	297	1	0	0	6	杰里米亚 review: null-reason axes correlate with mis-tags; relationships/speech systematic gaps	0	0	0	0	1	1	1	0	0	0	0	0	0	0	high-indegree-rejected	USEFUL	reason=null 可作误标筛子
E70	old	9666	S15440/T294	2026-07-31	0	3	indexed-by-elected	68	3	1	implement,design,delegate	action-as-cosplay,rp-harness	80	800	0	0	0	0	3	Wrote HARNESS_SPEC.md v2 formalizing framework/app split; dispatched Codex audit	0	0	1	0	1	1	1	0	0	0	0	0	0	0	high-indegree-rejected	MUST	HARNESS_SPEC v2 定框架应用分层
E70	old	9458	S15440/T223	2026-07-30	0	3	indexed-by-elected	155	2	1	review,research	action-as-cosplay,behavior-axes,character-cards	83	867	217	1	0	0	6	司波达也 review confirms true under-extraction; found abilities.since batch-default bug	0	0	0	0	1	1	1	0	0	0	0	0	0	0	high-indegree-rejected	USEFUL	复核发现漏轴与 since 缺省 bug
E70	old	10070	S15440/T375	2026-08-03	0	3	indexed-by-elected	118	2	1	fix	action-as-cosplay,rp-harness	74	607	0	0	0	0	3	Fixed SceneData gap: capability list implies derived structural state slot	1	0	0	0	1	1	1	0	0	0	0	0	0	0	high-indegree-rejected	USEFUL	能力表推导出结构状态槽
E70	old	11050	S15440/T688	2026-08-10	0	3	indexed-by-elected	94	2	1	delegate	action-as-cosplay,rp-harness	68	693	0	0	0	0	1	Dispatched 3-worker parallel compile of 7 more seed scenes (M02-M08)	0	0	0	0	0	1	1	0	0	0	1	0	0	0	high-indegree-rejected	NO	派发并行编译的播报
E70	old	9517	S15440/T241	2026-07-30	0	3	indexed-by-elected	86	2	2	design,research	action-as-cosplay,behavior-axes,rp-harness	93	675	327	1	0	0	19	共情↔自我 finalized; batching mechanism works but erratic — proxy-routing suspected, fix proposed	0	0	0	0	0	2	1	0	0	0	1	0	0	0	high-indegree-rejected	USEFUL	代理把 any 改写成 required
E70	old	10651	S15440/T559	2026-08-08	0	5	other	609	0	0	research	action-as-cosplay,behavior-axes	84	722	0	0	0	0	0	克制↔随心 vs 秩序↔自由 overlap is designed-in but not mergeable; v6 fills the empty quadrant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	low-degree-decisive-looking	USEFUL	两轴重叠属设计内、不合并
E70	old	10939	S15440/T654	2026-08-09	0	5	other	600	0	0	research	action-as-cosplay,rp-harness	67	360	0	0	0	0	0	Confirmed P03 luna run not stalled; other 8/9 mirror-test runs done	0	0	0	0	0	0	0	0	0	0	0	0	0	0	low-degree-decisive-looking	NO	纯状态检查，无新发现
E70	old	9671	S15440/T296	2026-07-31	0	5	other	567	0	1	discuss	action-as-cosplay,rp-harness	69	563	290	1	0	0	3	Justified no-line-numbers Read decision via primary-consumer analysis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	low-degree-decisive-looking	USEFUL	按主消费者论证去行号
E70	old	8593	S15440/T23	2026-07-23	0	5	other	628	0	0	design	final-decision,script-to-action,npc-policy,rolled-back,action-as-cosplay	55	311	143	1	0	0	0	Specified director decision-pack and actor action roles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	low-degree-decisive-looking	MUST	定下导演/演员两 agent 职责划分
E70	old	9186	S15440/T111	2026-07-28	0	5	other	582	0	1	design	npc-engine,action-as-cosplay,rp-harness	78	1203	0	0	0	0	1	Refined ChoiceScript probe: engine-generated choices, recognition≠construction	0	0	0	0	0	1	0	0	0	0	0	0	0	0	low-degree-decisive-looking	USEFUL	探针改引擎生成选项及其局限
E70	old	9364	S15440/T166	2026-07-29	0	5	other	619	0	0	research,fix	action-as-cosplay,character-cards	88	448	0	0	0	0	0	Verified schema consistency across card sources; found v8 silently dropped profile field	0	0	0	0	0	0	0	0	0	0	0	0	0	0	low-degree-decisive-looking	USEFUL	发现 v8 静默丢字段
E70	old	9150	S15440/T95	2026-07-27	0	5	other	586	0	1	design,measure	npc-engine,action-as-cosplay,rp-harness	71	817	0	0	0	0	1	Refined user-sim to transition kernel; empirically grounded observables	0	0	0	0	0	1	0	0	0	0	0	0	0	0	low-degree-decisive-looking	MUST	用户模型改为转移核并钉可观测边界
