arm	seg	side	turn_id	addr	tier	reason	rank
A	E70	old	10441	S15440/T454	2	declares-index	32
A	E70	old	10022	S15440/T355	2	declares-index	33
A	E70	old	10657	S15440/T565	2	declares-index	34
A	E70	old	11107	S15440/T718	2	declares-index	35
A	E70	old	9575	S15440/T271	2	declares-index	36
A	E70	old	11127	S15440/T725	2	declares-index	37
A	E70	old	10540	S15440/T501	2	declares-index	38
A	E70	recent	11696	S15440/T1022	2	declares-index	1
A	E70	recent	11577	S15440/T971	2	declares-index	2
A	E70	recent	11327	S15440/T805	2	declares-index	3
A	E70	recent	11543	S15440/T951	3	indexed-by-elected	4
A	E70	recent	11306	S15440/T792	3	indexed-by-elected	5
A	E70	recent	11304	S15440/T790	3	indexed-by-elected	6
A	E70	recent	11548	S15440/T954	3	indexed-by-elected	7
A	E70	recent	11314	S15440/T798	3	indexed-by-elected	8
A	E70	recent	11691	S15440/T1021	3	indexed-by-elected	9
A	E70	recent	11674	S15440/T1014	3	indexed-by-elected	10
A	E70	recent	11663	S15440/T1005	3	indexed-by-elected	11
A	E70	recent	11649	S15440/T999	3	indexed-by-elected	12
A	E70	recent	11559	S15440/T959	3	indexed-by-elected	13
A	E70	recent	11547	S15440/T953	3	indexed-by-elected	14
A	E70	recent	11325	S15440/T804	3	indexed-by-elected	15
A	E70	recent	11299	S15440/T786	3	indexed-by-elected	16
A	E70	recent	11670	S15440/T1011	3	indexed-by-elected	17
A	E70	recent	11573	S15440/T967	3	indexed-by-elected	18
A	E70	recent	11570	S15440/T965	4	corrector	19
A	E70	recent	11526	S15440/T937	4	corrector	20
A	E70	recent	11538	S15440/T947	4	corrector	21
A	E70	recent	11534	S15440/T943	4	corrector	22
A	E70	recent	11302	S15440/T789	4	corrector	23
A	E70	recent	11650	S15440/T1000	4	corrector	24
A	E70	recent	11520	S15440/T932	4	corrector	25
A	E70	recent	11471	S15440/T898	4	corrector	26
A	E70	recent	11368	S15440/T825	4	corrector	27
A	E70	recent	11592	S15440/T979	4	corrector	28
A	E70	recent	11566	S15440/T963	4	corrector	29
A	E70	recent	11404	S15440/T846	4	corrector	30
A	E70	recent	11375	S15440/T830	4	corrector	31
A	E70	recent	11361	S15440/T821	4	corrector	32
A	E70	recent	11356	S15440/T818	4	corrector	33
A	E70	recent	11672	S15440/T1013	4	corrector	34
A	E70	recent	11588	S15440/T976	4	corrector	35
A	E70	recent	11373	S15440/T829	4	corrector	36
A	E70	recent	11380	S15440/T831	5	other	37
A	E70	recent	11473	S15440/T899	5	other	38
A	E70	recent	11384	S15440/T833	5	other	39
